insee;nom;nb_voisins;insee_voisins
22264;Pommerit-Jaudy;8;22383|22264|22204|22269|22254|22141|22101|22264
22248;Pommerit-le-Vicomte;9;22293|22063|22065|22150|22272|22161|22358|22338|22283
22249;Pont-Melvez;5;22013|22138|22023|22216|22072
22250;Pontrieux;4;22256|22283|22212|22204
22251;Pordic;7;22187|22372|22251|22356|22117|22055|22055
22251;Pordic;7;22187|22372|22182|22356|22117|22055|22055
22264;Pouldouran;3;22347|22264|22383
22254;Prat;9;22141|22264|22264|22269|22041|22004|22245|22034|22006
22255;La Prénessaye;6;22183|22183|22183|22275|22136|22155
22256;Quemper-Guézennec;7;22233|22390|22108|22057|22283|22250|22204
22257;Quemperven;5;22101|22034|22030|22265|22110
22258;Quessoy;7;22246|22093|22093|22015|22079|22176|22389
22259;Quévert;7;22339|22050|22050|22050|22364|22003|22048
22260;Le Quillio;6;22330|22279|22158|22158|22295|22149
22261;Quintenic;5;22286|22175|22093|22093|22077
22262;Quintin;2;22277|22059
22263;Le Quiou;5;22056|22208|22352|22308|22274
22264;La Roche-Derrien;2;22264|22101
22264;La Roche-Jaudy;9;22383|22347|22199|22196|22204|22269|22254|22141|22101
22265;Rospez;7;22090|22381|22110|22257|22030|22113|22134
22266;Rostrenen;4;22220|22146|22061|22087
22267;Rouillac;5;22337|22053|22046|22046|22185
22268;Ruca;3;22174|22323|22076
22269;Runan;7;22204|22212|22018|22041|22254|22264|22264
22271;Saint-Adrien;5;22225|22322|22189|22013|22040
22272;Saint-Agathon;6;22150|22304|22225|22070|22161|22248
22273;Saint-Alban;7;22054|22012|22077|22093|22093|22093|22186
22274;Saint-André-des-Eaux;4;22056|22263|22308|22026
22275;Saint-Barnabé;8;22255|22183|22183|22039|56024|56198|22314|22136
22276;Saint-Bihy;5;22059|22099|22073|22074|22386
22277;Saint-Brandan;7;22170|22171|22203|22203|22099|22262|22059
22278;Saint-Brieuc;4;22106|22360|22215|22187
22279;Saint-Caradec;8;22330|22376|22136|22075|22285|22158|22158|22260
22280;Saint-Carné;7;22050|22050|22118|22026|22380|22008|22364
22281;Saint-Carreuc;6;22176|22079|22203|22203|22203|22171
22282;Saint-Cast-le-Guildo;3;22311|22323|22143
22283;Saint-Clet;7;22256|22057|22293|22248|22338|22212|22250
22284;Saint-Connan;6;22335|22291|22386|22294|22092|22189
22285;Saint-Connec;6;22158|22279|22075|56093|22158|22158
22286;Saint-Denoual;5;22076|22096|22175|22261|22077
22287;Saint-Donan;7;22188|22144|22215|22170|22059|22045|22234
22288;Saint-Étienne-du-Gué-de-l'Isle;3;22241|22027|56024
22289;Saint-Fiacre;6;22116|22011|22291|22335|22189|22322
22107;Saint-Gelven;8;22244|22316|22033|56203|56209|22107|22181|22107
22291;Saint-Gildas;6;22011|22126|22386|22284|22335|22289
22046;Saint-Gilles-du-Mené;6;22046|22122|22183|22183|22046|22046
22293;Saint-Gilles-les-Bois;5;22057|22378|22063|22248|22283
22294;Saint-Gilles-Pligeaux;4;22284|22386|22029|22092
22295;Saint-Gilles-Vieux-Marché;8;22313|22149|22260|22158|22158|22158|22033|22316
22296;Saint-Glen;7;22165|22046|22046|22046|22046|22345|22332
22046;Saint-Gouéno;7;22296|22046|22046|22046|22046|22046|22345
22158;Saint-Guen;5;22260|22279|22285|22158|22295
22299;Saint-Hélen;9;22197|35308|35308|35225|22035|22118|22339|22327|22385
22300;Saint-Hervé;6;22203|22060|22068|22330|22384|22203
