INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy
35010;2018;24;0;130943.5;1412.208;93.95833
35010;2019;24;1;164540.92;1510.84;109.6
35010;2020;20;0;153786;1677.8;101.8
35010;2021;30;0;208525.133333333;1906.1;104.7
35012;2018;81;13;151904.2;1631.255;94.20213
35012;2019;82;13;161130.578947368;1660.10526315789;97.2947368421053
35012;2020;71;27;159771.8;1830.265;89.63265
35012;2021;80;27;170196.831775701;1977.23364485981;90.1401869158879
35013;2018;45;0;114112.9;1157.756;99.71111
35013;2019;44;0;148121.977272727;1313.54545454545;112.545454545455
35013;2020;44;0;141982.3;1331;103.8182
35013;2021;49;1;146250.88;1501.54;94.58
35014;2018;34;1;137147.7;1431.743;100.2571
35014;2019;28;3;150805.451612903;1580.25806451613;100.032258064516
35014;2020;30;2;156950.3;1554.594;102.75
35014;2021;25;0;175026.88;1677.48;106.08
35015;2018;18;0;127555.6;1456.444;89.11111
35015;2019;24;0;141225;1375.5;101.083333333333
35015;2020;20;0;173146.8;1401.85;126.1
35015;2021;28;0;153834.5;1566.64285714286;97.3214285714286
35016;2018;32;0;161167.8;1504.219;104.9688
35016;2019;26;0;174916.576923077;1719.76923076923;103.884615384615
35016;2020;26;0;150629.2;1591.846;103.9615
35016;2021;35;0;178498.142857143;2032.42857142857;94.9428571428571
35017;2018;6;1;162857.1;1553.571;107.4286
35017;2019;5;0;156312;1578;100.2
35017;2020;10;0;195771.3;1889.5;102
35017;2021;8;0;235312.5;1912.75;144.25
35018;2018;15;0;91095.33;1173.267;87.86667
35018;2019;11;0;120588.181818182;1105.27272727273;105.727272727273
35018;2020;12;1;119634.6;1156.538;107.6154
35018;2021;18;0;118475.722222222;1411.55555555556;86.0555555555556
35019;2018;32;0;107341.2;1162.969;95.3125
35019;2019;29;2;106042.096774194;1038.32258064516;101.870967741935
35019;2020;26;0;104937.5;1117.577;91.42308
35019;2021;34;0;111342.088235294;1428.85294117647;80.7647058823529
35021;2018;12;0;137141.7;1476.5;96.91667
35021;2019;12;0;133875;1347.91666666667;94.4166666666667
35021;2020;17;0;200502.6;2097.882;100.9412
35021;2021;17;0;165467.647058824;1584.58823529412;107.882352941176
35022;2018;12;1;140730.8;1404.462;98.61538
35022;2019;3;1;180592.5;1808.25;97.5
35022;2020;13;3;163440.2;1648.25;97.3125
35022;2021;8;1;189294.777777778;1797.22222222222;105.666666666667
35023;2018;44;9;182185.1;1888.396;98.01887
35023;2019;53;11;181879.53125;1857.015625;98.8125
35023;2020;50;11;199266.7;1986.279;103.4262
35023;2021;76;14;250979.966666667;2447.3;104.533333333333
35024;2018;97;68;228744.7;2523.818;91.63636
35024;2019;97;67;257636.12195122;2718.06097560976;94.5670731707317
35024;2020;89;44;286783;2903.895;100.1278
35024;2021;116;70;292261.344086022;3195.13440860215;93.252688172043
35025;2018;11;0;110181.8;1161.364;95.81818
35025;2019;10;0;166690;1583.4;104
35025;2020;13;0;136300;1343.308;105
35025;2021;21;0;164391.19047619;1529.42857142857;113.904761904762
35026;2018;1;0;140000;1197;117
35026;2019;1;0;55000;655;84
35026;2021;2;0;164500;1440.5;116.5
35027;2018;14;0;152600.4;1608.929;95.21429
35027;2019;14;0;135560.357142857;1533.92857142857;87.1428571428571
35027;2020;31;0;163074.8;1527.258;109.7097
35027;2021;27;0;216551;2051.03703703704;111.518518518519
35028;2018;6;0;95222.33;1130.5;85.66667
35028;2019;7;0;165957.142857143;1491.14285714286;114.857142857143
35028;2020;14;0;144401.4;1572.714;94.42857
35028;2021;14;0;163587.857142857;1767.71428571429;92.6428571428571
35029;2018;23;0;158466.1;1470.478;110.2609
35029;2019;32;0;125127.5625;1493.3125;86.5625
35029;2020;20;0;139473;1472.55;97.75
35029;2021;24;0;167104.75;1778.875;97.9166666666667
35030;2018;5;0;147000;1782.4;87.4
35030;2019;12;0;122983.333333333;1288.08333333333;95.3333333333333
35030;2020;6;0;184300;1652.5;104.5
35030;2021;9;0;130308.888888889;1485.88888888889;92.5555555555556
35031;2018;42;3;176059.5;1845.689;94.62222
35031;2019;56;9;165429.676923077;1724.64615384615;95.8615384615385
35031;2020;60;3;211048;2101.476;101.6349
35031;2021;73;6;230033.696202532;2253.48101265823;104.607594936709
35032;2018;47;18;191746;2049.415;94.41538
35032;2019;74;26;209109.77;2120.17;99.62
35032;2020;60;21;220235;2249.333;102.0741
35032;2021;45;16;238632.098360656;2542.34426229508;94.9344262295082
35033;2018;50;6;176677.8;1686.321;105.1964
35033;2019;34;4;182829.5;1995.55263157895;99.2894736842105
35033;2020;35;7;177775.8;1845.905;94.88095
35033;2021;35;7;223848.547619048;2092.30952380952;110.690476190476
35034;2018;17;0;99234.94;1064.176;95.29412
35034;2019;14;0;95107.1428571429;1039.14285714286;95.9285714285714
35034;2020;26;1;113901.9;1373;83.85185
35034;2021;20;1;120714.285714286;1322.28571428571;92
35035;2018;8;0;164673.5;1249.5;126.5
35035;2019;9;0;176533.333333333;1815.88888888889;98.2222222222222
35035;2020;8;0;182500;1558.125;120.875
35035;2021;8;0;168183.75;1693.125;110.25
35037;2018;60;20;188570.5;2023.062;95.425
35037;2019;57;29;185983.488372093;2081.02325581395;90.2325581395349
35037;2020;62;18;205650.4;2153.762;96.25
35037;2021;77;22;218416.323232323;2426.32323232323;92.989898989899
35038;2018;10;0;106795.6;1039.9;105.9
35038;2019;12;0;118440.166666667;1235.41666666667;93.4166666666667
35038;2020;4;0;145815.8;1422.5;102
35038;2021;12;0;156916.666666667;1672.25;98.0833333333333
35039;2018;18;1;219052.3;1900.632;113.8947
35039;2019;18;4;184905.545454545;1886.77272727273;98.7727272727273
35039;2020;19;5;198623.1;2205.417;95.41667
35039;2021;13;17;223812.1;2459.93333333333;88.1666666666667
35040;2018;27;13;170844.8;1783.425;97.475
35040;2019;26;9;183852.657142857;2037.71428571429;93.8
35040;2020;37;8;190869.3;2142.578;92.26667
35040;2021;40;14;193873.740740741;2197.25925925926;89.7777777777778
35041;2018;12;0;169675.4;1879.833;94.16667
35041;2019;5;0;187337;1792;111.6
35041;2020;8;0;167741;1596.375;103.875
35041;2021;7;0;194500;1806.85714285714;107.142857142857
35042;2018;11;0;103384.7;1125.545;89.54545
35042;2019;6;0;74363.6666666667;819.833333333333;88
35042;2020;12;0;126873.3;1186.917;109.25
35042;2021;13;0;154917.692307692;1444.30769230769;109.538461538462
35044;2018;1;0;145000;1208;120
35044;2019;7;0;100928.571428571;1326;80
35044;2020;5;0;102600;1552.2;83
35044;2021;3;0;127500;1258.33333333333;102.333333333333
35045;2018;12;0;117858.6;1260.667;87.41667
35045;2019;11;0;74270.9090909091;1006.45454545455;76.0909090909091
35045;2020;6;0;100665;1484.167;83
35045;2021;11;0;134871.727272727;1513.54545454545;93.3636363636364
35046;2018;5;0;96423.2;988.8;90.6
35046;2019;6;0;142150;1248;112.166666666667
35046;2020;9;0;106600;1302.222;84.77778
35046;2021;10;0;123430.7;1406.2;87.7
35047;2018;130;122;209693.4;2465.802;87.27381
35047;2019;140;153;211955.259385666;2520.13651877133;85.5665529010239
35047;2020;147;113;237046.3;2750.185;88.41923
35047;2021;139;145;256330.718309859;3194.74647887324;82.9119718309859
35049;2018;80;32;202869.2;2910.643;79.11607
35049;2019;111;43;256689.902597403;2872.53246753247;91.3116883116883
35049;2020;97;61;259079.5;3201.728;85.75949
35049;2021;89;56;287274.144827586;3482.61379310345;86.0344827586207
35050;2018;6;0;172775;1740.667;96.5
35050;2019;3;0;131400;1644;89
35050;2020;7;0;170298;1615.571;117.2857
35050;2021;10;0;239818.3;1917.6;136.4
35051;2018;126;91;319203.4;3097.327;103.8341
35051;2019;103;124;288413.594713656;3186.28193832599;90.5506607929515
35051;2020;102;96;332108.7;3632.475;91.78788
35051;2021;135;146;335469.957295374;3694.55871886121;89.5978647686833
35052;2018;8;0;169340;1561.5;108.875
35052;2019;9;1;139540.1;1570.2;88.8
35052;2020;4;0;193875;1541.75;127.25
35052;2021;8;1;210488.888888889;1737.22222222222;115.888888888889
35054;2018;21;0;182097.4;1884.571;103.1429
35054;2019;26;0;177044.461538462;1757.38461538462;109.615384615385
35054;2020;18;0;204794.4;1861;108.7222
35054;2021;22;0;221514.136363636;2258.40909090909;101.818181818182
35055;2018;51;103;193518.3;2418.052;80.12987
35055;2019;66;108;204898.465517241;2566.77011494253;80.0977011494253
35055;2020;57;111;222584.4;2813.554;79.09524
35055;2021;54;93;246516.462585034;2979.19047619048;84.5170068027211
35056;2018;8;0;145891.8;1578.25;93.625
35056;2019;7;0;141759;1231.71428571429;114.142857142857
35056;2020;12;0;145005.2;1551;93.33333
35056;2021;10;0;186008.9;2028.2;91.7
35057;2018;21;3;120950;1293.083;95.5
35057;2019;18;2;120957;1531.95;76.65
35057;2020;23;5;118060.4;1402.107;83.5
35057;2021;21;5;141914.615384615;1766.23076923077;81.4615384615385
35058;2018;18;0;186772.2;1751.389;105.6667
35058;2019;16;0;224770.1875;1742.8125;121.875
35058;2020;19;0;200955.7;1983.526;104.6316
35058;2021;11;0;206909.090909091;2032.09090909091;99.1818181818182
35059;2018;42;13;225606.5;2389.545;94.16364
35059;2019;34;20;236505.5;2748.98148148148;90.8333333333333
35059;2020;38;17;242348;2514.855;96.87273
35059;2021;46;17;334293.666666667;3187.92063492063;101.349206349206
35060;2018;14;0;140045.9;1402.786;95.35714
35060;2019;17;0;160161;1582.70588235294;102.117647058824
35060;2020;12;0;178151.7;1751.917;102.3333
35060;2021;14;0;193137.071428571;1873.21428571429;104.285714285714
35061;2018;5;0;106900;1421.6;77.6
35061;2019;9;0;160888.888888889;1647.77777777778;103.444444444444
35061;2020;3;0;129000;1388.333;96.66667
35061;2021;11;0;161292.454545455;1499.18181818182;108.454545454545
35062;2018;15;0;127753.3;1266.867;103.8667
35062;2019;13;0;98719.0769230769;1235.46153846154;83.0769230769231
35062;2020;15;0;120619.7;1247.4;93.06667
35062;2021;17;0;133147.058823529;1361.58823529412;92.5294117647059
35063;2018;3;0;171633.3;1141;159.3333
35063;2019;5;0;153300;1337.8;115
35063;2020;3;0;117000;1048.333;105.3333
35063;2021;7;0;151714.285714286;1464.28571428571;115.714285714286
35064;2018;21;0;72962.14;975.619;75.2381
35064;2019;25;0;78499.44;937.96;81.76
35064;2020;18;0;106005.2;1076.222;97
35064;2021;35;0;119181.285714286;1232.6;91.5142857142857
35065;2018;17;0;187823.2;2020.765;96.94118
35065;2019;24;3;178787.074074074;1973.44444444444;93.7037037037037
35065;2020;18;5;176647;2514.87;79.34783
35065;2021;22;1;238002.608695652;2453.26086956522;97.695652173913
35066;2018;71;82;182340.8;2280.294;79.32026
35066;2019;66;73;192379.568345324;2442.31654676259;78.4028776978417
35066;2020;66;81;199832.5;2455.272;82.42857
35066;2021;47;73;209178.875;2890.39166666667;73.5416666666667
35067;2018;17;0;200658.8;1733.471;115.8824
35067;2019;23;0;201793.47826087;1874.86956521739;107.130434782609
35067;2020;24;0;242799.9;2143.125;115.4167
35067;2021;16;0;259373.8125;2343.6875;111.5
35068;2018;58;26;169547;1956.012;88.70238
35068;2019;65;28;180777.569892473;1998.37634408602;93.010752688172
35068;2020;77;21;190397.7;2182.592;88.42857
35068;2021;68;26;219430.29787234;2376.1914893617;94.2446808510638
35069;2018;96;34;218698.1;2192.615;100.1385
35069;2019;107;43;220886.853333333;2255.38;98.7066666666667
35069;2020;123;36;238071.5;2317.22;104.4151
35069;2021;129;37;276061.674698795;2660.31927710843;105.253012048193
35070;2018;23;5;168428.6;1806.179;96.46429
35070;2019;37;1;171659.447368421;1627.5;104.710526315789
35070;2020;24;3;200816.3;1917.407;108
35070;2021;24;9;212306;2425.75757575758;90.030303030303
35071;2018;5;0;153560.8;1118.2;138
35071;2019;6;0;126250;1131.5;109.5
35071;2020;4;0;170000;1688.5;106
35071;2021;8;0;131312.5;1126.625;113.75
35072;2018;15;0;145426;1412.2;108.1333
35072;2019;14;0;110177.142857143;1158.14285714286;103.642857142857
35072;2020;13;0;110500;1239.308;100.0769
35072;2021;25;0;134552.8;1337.6;104.24
35075;2018;8;0;148069.9;1442.25;101
