codeGare;nomGare;fret;voyageurs;nom commune;departement;code commune
87471516;LES LACS;O;O;SAINT-AUBIN-DES-LANDES;ILLE-ET-VILAINE;35252
87471102;BRETEIL;N;O;SAINT-GILLES;ILLE-ET-VILAINE;35275
87471052;ST-JACQUES-DE-LA-LANDE;O;O;SAINT-JACQUES-DE-LA-LANDE;ILLE-ET-VILAINE;35281
87478107;ST-MALO;O;O;SAINT-MALO;ILLE-ET-VILAINE;35288
87478024;ST-MEDARD-SUR-ILLE;N;O;SAINT-MEDARD-SUR-ILLE;ILLE-ET-VILAINE;35296
87471243;ST-MEEN;O;N;SAINT-MEEN-LE-GRAND;ILLE-ET-VILAINE;35297
87478099;LA GOUESNIERE-CANCALE;N;O;SAINT-MELOIR-DES-ONDES;ILLE-ET-VILAINE;35299
87471169;ST-SENOUX-PLECHATEL;N;O;SAINT-SENOUX;ILLE-ET-VILAINE;35312
87471532;SERVON;N;O;SERVON-SUR-VILAINE;ILLE-ET-VILAINE;35327
87471342;LE THEIL-DE-BRETAGNE;N;O;LE THEIL-DE-BRETAGNE;ILLE-ET-VILAINE;35333
87471029;VERN;N;O;VERN-SUR-SEICHE;ILLE-ET-VILAINE;35352
87471508;VITRE;O;O;VITRE;ILLE-ET-VILAINE;35360
87476200;AURAY;O;O;AURAY;MORBIHAN;56007
87476242;BRANDERION;N;O;BRANDERION;MORBIHAN;56021
87476309;GESTEL;N;O;GESTEL;MORBIHAN;56063
87476259;HENNEBONT;N;O;HENNEBONT;MORBIHAN;56083
87476226;LANDAUL-MENDON;N;O;LANDAUL;MORBIHAN;56096
87476234;LANDEVANT;N;O;LANDEVANT;MORBIHAN;56097
87476523;BAUD;O;N;LANGUIDIC;MORBIHAN;56101
87476002;LORIENT;O;O;LORIENT;MORBIHAN;56121
87476689;MALANSAC;N;O;MALANSAC;MORBIHAN;56123
87476408;BELZ-PLOEMEL;N;O;PLOEMEL;MORBIHAN;56161
87476416;PLOUHARNEL-CARNAC;N;O;PLOUHARNEL;MORBIHAN;56168
87476267;LES SABLES-BLANCS;N;O;PLOUHARNEL;MORBIHAN;56168
87476648;STE-ANNE;N;O;PLUNERET;MORBIHAN;56176
87476556;PONTIVY;O;N;PONTIVY;MORBIHAN;56178
87476671;QUESTEMBERT;O;O;QUESTEMBERT;MORBIHAN;56184
87476457;QUIBERON;N;O;QUIBERON;MORBIHAN;56186
87476432;KERHOSTIN;N;O;SAINT-PIERRE-QUIBERON;MORBIHAN;56234
87476440;ST-PIERRE-QUIBERON;N;O;SAINT-PIERRE-QUIBERON;MORBIHAN;56234
87476275;L'ISTHME;N;O;SAINT-PIERRE-QUIBERON;MORBIHAN;56234
87476424;PENTHIEVRE;N;O;SAINT-PIERRE-QUIBERON;MORBIHAN;56234
87476606;VANNES;O;O;VANNES;MORBIHAN;56260
87473140;CHATELAUDREN-PLOUAGAT;O;O;CHATELAUDREN-PLOUAGAT;COTES-D'ARMOR;22206
87474213;KERHUON;O;O;LE RELECQ-KERHUON;FINISTERE;29235
87474312;ST-THEGONNEC;N;O;SAINT-THEGONNEC LOC-EGUINER;FINISTERE;29266
87471524;CHATEAUBOURG;N;O;CHATEAUBOURG;ILLE-ET-VILAINE;35068
87471185;MESSAC-GUIPRY;N;O;GUIPRY-MESSAC;ILLE-ET-VILAINE;35176
